ProductKey,ProductCode,ProductName,Manufacturer,Brand,Color,WeightUnit,Weight,Cost,Price,CategoryKey,CategoryName,SubCategoryKey,SubCategoryName
60,0104015,WWI 1GB Digital Voice Recorder Pen E100 White,Wide World Importers,Wide World Importers,White,grams,30,79.53,156,1,Audio,104,Recording Pen
63,0104018,WWI 2GB Spy Video Recorder Pen M300 Blue,Wide World Importers,Wide World Importers,Blue,ounces,1.3,83.24,181,1,Audio,104,Recording Pen
64,0104019,WWI 2GB Spy Video Recorder Pen M300 Silver,Wide World Importers,Wide World Importers,Silver,ounces,2.2,83.24,181,1,Audio,104,Recording Pen
84,0106019,NT Wireless Bluetooth Stereo Headphones M402 Red,Northwind Traders,Northwind Traders,Red,pounds,1.2,45.98,99.99,1,Audio,106,Bluetooth Headphones
103,0106038,WWI Wireless Bluetooth Stereo Headphones M270 Black,Wide World Importers,Wide World Importers,Black,ounces,12.8,52.88,115,1,Audio,106,Bluetooth Headphones
110,0106045,WWI Stereo Bluetooth Headphones New Generation M370 Blue,Wide World Importers,Wide World Importers,Blue,pounds,2,61.16,132.99,1,Audio,106,Bluetooth Headphones
115,0106050,WWI Wireless Transmitter and Bluetooth Headphones X250 Silver,Wide World Importers,Wide World Importers,Silver,ounces,11.5,82.83,249.99,1,Audio,106,Bluetooth Headphones
188,0202023,SV 16xDVD M350 Silver,Southridge Video,Southridge Video,Silver,pounds,7.3,53.76,116.9,2,TV and Video,202,VCD & DVD
394,0301057,WWI Laptop15.4W M0156 Black,Wide World Importers,Wide World Importers,Black,pounds,2.7,348.58,758,3,Computers,301,Laptops
396,0301059,WWI Laptop19W X0196 White,Wide World Importers,Wide World Importers,White,pounds,2.7,430.38,1299,3,Computers,301,Laptops
416,0303001,Adventure Works Desktop PC2.33 XD233 Silver,Adventure Works,Adventure Works,Silver,pounds,,321.05,969,3,Computers,303,Desktops
425,0303010,Adventure Works Desktop PC1.80 ED180 Black,Adventure Works,Adventure Works,Black,pounds,,188.13,369,3,Computers,303,Desktops
426,0303011,Adventure Works Desktop PC1.80 ED182 Black,Adventure Works,Adventure Works,Black,pounds,,254.86,499.9,3,Computers,303,Desktops
431,0303016,Adventure Works Desktop PC1.80 ED180 Brown,Adventure Works,Adventure Works,Brown,pounds,,188.13,369,3,Computers,303,Desktops
435,0303020,Adventure Works Desktop PC1.60 ED160 White,Adventure Works,Adventure Works,White,pounds,,137.63,269.95,3,Computers,303,Desktops
457,0303042,WWI Desktop PC1.60 E1600 White,Wide World Importers,Wide World Importers,White,pounds,,112.14,219.95,3,Computers,303,Desktops
485,0304025,Proseware LCD15 E103 White,"Proseware, Inc.",Proseware,White,pounds,10.4,50.47,99,3,Computers,304,Monitors
519,0304059,WWI LCD22 M2002 Black,Wide World Importers,Wide World Importers,Black,pounds,10.8,205.09,619,3,Computers,304,Monitors
589,0305051,Contoso Projector 720p M620 White,"Contoso, Ltd",Contoso,White,pounds,6.3,321.44,699,3,Computers,305,Projectors & Screens
715,0306074,Proseware Duplex Scanner M200 White,"Proseware, Inc.",Proseware,White,pounds,14.4,68.52,149,3,Computers,306,"Printers, Scanners & Fax"
821,0308079,Contoso USB 2.0 Dock Station docking station M800 Grey,"Contoso, Ltd",Contoso,Grey,pounds,9,13.75,29.9,3,Computers,308,Computers Accessories
994,0401051,A. Datum Consumer Digital Camera M300 Silver,A. Datum Corporation,A. Datum,Silver,ounces,5.65,84.84,184.5,4,Cameras and camcorders,401,Digital Cameras
