OrderKey,LineNumber,OrderDate,DeliveryDate,CustomerKey,StoreKey,ProductKey,Quantity,UnitPrice,NetPrice,UnitCost,CurrencyCode,ExchangeRate
87200,0,2022-05-21,2022-05-21,34488,60,115,2,187.4925,187.4925,62.1225,AUD,1.41628
103300,1,2022-10-29,2022-10-29,1613348,650,589,7,1398,1230.24,642.88,USD,1.00000
109300,2,2022-12-28,2022-12-28,1965932,490,103,1,94.3,89.585,43.3616,USD,1.00000
112401,3,2023-01-28,2023-01-28,711329,290,1801,6,28.8,26.208,14.679,EUR,0.92039
114900,0,2023-02-22,2023-02-22,1400736,450,1596,1,11.394,11.394,5.238,USD,1.00000
117000,2,2023-03-15,2023-03-15,503738,230,103,1,94.3,84.87,43.3616,EUR,0.94796
123401,2,2023-05-18,2023-05-18,1892579,570,821,1,59.8,57.408,27.5,USD,1.00000
125600,0,2023-06-09,2023-06-09,1031762,390,519,1,1238,1101.82,410.18,GBP,0.79587
127700,0,2023-06-30,2023-06-30,1247464,670,1438,2,464,464,213.376,USD,1.00000
130300,3,2023-07-26,2023-07-26,482615,220,110,2,109.0518,95.965584,50.1512,EUR,0.90424
133000,1,2023-08-22,2023-08-22,189727,50,188,7,105.21,94.689,48.384,AUD,1.55029
135201,0,2023-09-13,2023-09-20,273121,999999,425,1,738,656.82,376.26,CAD,1.35619
136900,3,2023-09-30,2023-09-30,1107686,380,416,2,1938,1938,642.1,GBP,0.81610
138200,3,2023-10-13,2023-10-18,997942,999999,1461,2,492.8,433.664,226.624,GBP,0.82112
139700,0,2023-10-28,2023-11-01,1892979,999999,1359,4,68.784,61.21776,22.784,USD,1.00000
140902,2,2023-11-09,2023-11-12,932313,999999,1671,3,4.491,3.95208,2.286,GBP,0.81569
142100,0,2023-11-21,2023-11-23,1595828,999999,1617,3,52.191,44.88426,24.003,USD,1.00000
143500,0,2023-12-05,2023-12-07,835964,999999,1561,2,643.2,643.2,213.104,EUR,0.92447
144602,0,2023-12-16,2023-12-16,169617,10,1487,1,427.2,380.208,196.448,AUD,1.49132
145602,0,2023-12-26,2023-12-26,1873550,620,1694,7,7.992,7.03296,3.672,USD,1.00000
146501,1,2024-01-04,2024-01-04,635622,170,64,5,148.42,148.42,68.2568,EUR,0.91299
147802,0,2024-01-17,2024-01-17,121335,50,1574,1,53.991,46.97217,24.831,AUD,1.52542
149202,0,2024-01-31,2024-01-31,623789,150,1548,4,425.6,374.528,195.712,EUR,0.92276
150501,0,2024-02-13,2024-02-15,1813501,999999,2099,3,211.15,211.15,107.6496,USD,1.00000
151102,2,2024-02-19,2024-02-19,2020983,650,63,3,148.42,130.6096,68.2568,USD,1.00000
151601,0,2024-02-24,2024-02-24,1348577,605,1579,5,197.1,191.187,65.304,USD,1.00000
152303,4,2024-03-02,2024-03-07,1495184,999999,1076,2,828.1,761.852,274.365,USD,1.00000
154400,0,2024-03-23,2024-03-28,1805609,999999,485,1,198,198,100.94,USD,1.00000
159000,1,2024-05-08,2024-05-08,1541734,540,431,7,738,649.44,376.26,USD,1.00000
160501,0,2024-05-23,2024-05-23,221408,100,1292,2,476.515,471.74985,157.885,CAD,1.36650
161801,6,2024-06-05,2024-06-05,1948527,570,1489,8,496,441.44,228.096,USD,1.00000
163200,1,2024-06-19,2024-06-19,1920895,540,994,3,239.85,213.4665,110.292,USD,1.00000
