contract_title,clause_type,excerpt,char_offset
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,Document Name,SUPPLY CONTRACT,14
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,Parties,The seller:,143
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,Parties,"The buyer/End-User: Shenzhen LOHAS Supply Chain Management Co., Ltd.",49
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,Expiration Date,"The Contract is valid for 5 years, beginning from and ended on .",10985
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,Governing Law,"It will be governed by the law of the People's Republic of China ,otherwise it is governed by United Nations Convention on Contract for the International Sale of Goods.",10691
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,Warranty Duration,"Within 7 days after the arrival of the goods at destination, should the quality, specification, or quantity be found not in conformity with the stipulations of the Contract except those claims for which the insurance company or the owners of the vessel are liable, the Buyers, on the strength of the ",6665
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,Insurance,To be covered by the Seller for 110% invoice value against All Risks and War Risk.,3659
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Document Name,AMENDMENT AND TERMINATION OF JOINT VENTURE AGREEMENT,76
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,"Nissin Kogyo Co., Ltd.",416
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,"""NBZ"" and together with Nissin and Nissin Holding, the ""Nissin Parties""",626
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,Nissin,416
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,Nissin Kogyo Holdings,475
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,"""Nissin Holding"")",529
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,"USA, Inc.",497
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,"Veoneer US, Inc.",299
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,"""Veoneer US"" and together with Veoneer AB, the ""Veoneer Parties""",341
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,"Zhongshan Nissin Industry Co., Ltd.",551
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Parties,Veoneer AB,246
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Agreement Date,"October 30, 2019",189
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Effective Date,"This Amendment shall only become effective upon the VNBJ Closing with respect to Article 1.1 and the VNBZ Closing with respect to Article 1.2, and shall terminate without any force or effect in the event that the VNBJ SPA and the VNBZ SPA are terminated in accordance with the terms thereof.",6764
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Effective Date,"October 30, 2019",189
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Expiration Date,"This Amendment shall only become effective upon the VNBJ Closing with respect to Article 1.1 and the VNBZ Closing with respect to Article 1.2, and shall terminate without any force or effect in the event that the VNBJ SPA and the VNBZ SPA are terminated in accordance with the terms thereof.",6764
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",Governing Law,This Amendment shall be governed by and construed in accordance with the laws of Japan.,6650
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Document Name,SPONSORSHIP AGREEMENT,75
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Parties,Trust,158
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Parties,"""Domini"" or the ""Sponsor""",289
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Parties,Domini Advisor Trust,143
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Parties,Domini Social Investments LLC,215
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Agreement Date,"February 4, 2005",110
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Effective Date,"This Agreement shall become effective as of the day and year first above written and shall govern the relations between the parties hereto thereafter, unless terminated as set forth in this Section 6.",8587
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Effective Date,"February 4, 2005",110
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Expiration Date,"This Agreement shall become effective as of the day and year first above written and shall govern the relations between the parties hereto thereafter, unless terminated as set forth in this Section 6.",8587
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Governing Law,This Agreement shall be construed and enforced and interpreted in accordance with and governed by the laws of the Commonwealth of Massachusetts without reference to principles of conflicts of law.,10716
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Termination For Convenience,"This Agreement may be terminated at any time, without the payment of any penalty, with respect to any series or the Trust, by the Board of Trustees of the Trust, or by the Sponsor, in each case on not less than 60 days' written notice to the other party.",8909
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Revenue/Profit Sharing,"For the services to be rendered and facilities to be provided by the Sponsor hereunder, the Trust shall pay Domini a fee accrued daily and payable monthly at an annual rate equal to 0.50% of the Trust's average daily net assets for the Trust's then current fiscal year.",6536
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Cap On Liability,Limitation of Liability of the Sponsor.,7252
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,Document Name,SAMPLE OF NON-DISCLOSURE AND NON-COMPETITION AGREEMENT,110
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,Parties,Member,384
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,Parties,Franchisee,276
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,Parties,___________________________,242
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,Agreement Date,"this  _____ day of _________, 20___",190
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,Non-Compete,"Member covenants and agrees that during the Post-Term Period (defined below), except as otherwise approved in writing by Franchisor, Member shall not, either directly or indirectly, own, manage, engage in, be employed by, advise, make loans to, consult for, or have any other interest in any Competit",3500
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,Non-Compete,"Member covenants and agrees that during the term of the Franchise Agreement, except as otherwise approved in writing by Franchisor, Member shall not, either directly or indirectly, for itself, or through, on behalf of, or in conjunction with any person, persons, partnership, corporation, or entity: ",2504
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,No-Solicit Of Customers,"Member covenants and agrees that during the term of the Franchise Agreement, except as otherwise approved in writing by Franchisor, Member shall not, either directly or indirectly, for itself, or through, on behalf of, or in conjunction with any person, persons, partnership, corporation, or entity:",2504
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,No-Solicit Of Customers,"(ii) Divert or attempt to divert any business or customer, or potential business or customer, to any Competitive Business;",3284
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,No-Solicit Of Employees,"Member covenants and agrees that during the term of the Franchise Agreement, except as otherwise approved in writing by Franchisor, Member shall not, either directly or indirectly, for itself, or through, on behalf of, or in conjunction with any person, persons, partnership, corporation, or entity:",2504
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,No-Solicit Of Employees,(iii) Induce any person to leave his or her employment with Franchisee or Franchisor.,3410
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,Third Party Beneficiary,"Member hereby acknowledges and agrees that Franchisor is an intended third-party beneficiary of this Agreement with the right to enforce it, independently or jointly with Franchisee.",6221
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,Document Name,ENDORSEMENT,30
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,Parties,Thrivent Financial for Lutherans,334
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,Agreement Date,"July 1, 2019",59
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,Effective Date,"July 1, 2019",59
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,Anti-Assignment,Society membership rights and privileges cannot be transferred or assigned.,4016
