UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0
10,M14869,M,298.5,309,1741,28.0,21,0,0,0,0,0,0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0
55,L47234,L,298.7,309,1691,30.1,154,0,0,0,0,0,0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0
70,L47249,L,298.9,309,1410,65.7,191,1,0,0,1,1,0
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0
94,L47273,L,299.1,309,1450,43.0,40,0,0,0,0,0,0
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0
243,L47422,L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0
249,L47428,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0
250,L47429,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0
253,L47432,L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0
260,M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0
328,L47507,L,297.7,308.5,1373,56.7,203,1,0,0,0,1,0
333,M15192,M,297.6,308.3,1538,40.2,0,0,0,0,0,0,0
358,L47537,L,297.6,308.4,1517,34.2,66,0,0,0,0,0,0
381,L47560,L,297.5,308.3,2564,12.8,127,1,0,0,1,0,0
402,L47581,L,297.5,308.5,1722,30.4,178,0,0,0,0,0,0
415,L47594,L,297.4,308.4,1588,32.5,207,0,0,0,0,0,0
421,M15280,M,297.3,308.3,1301,39.6,5,0,0,0,0,0,0
424,L47603,L,297.3,308.3,1484,43.9,13,0,0,0,0,0,0
443,L47622,L,297.4,308.5,1399,61.5,61,1,0,0,1,0,0
450,L47629,L,297.6,308.7,1622,37.9,79,0,0,0,0,0,0
464,L47643,L,297.4,308.7,2874,4.2,118,1,0,0,1,0,0
469,L47648,L,297.3,308.7,1619,31.6,129,0,0,0,0,0,0
505,M15364,M,297.6,309.3,1529,41.9,3,0,0,0,0,0,0
531,M15390,M,297.6,309.5,1709,32.2,65,0,0,0,0,0,0
537,L47716,L,297.4,309.3,1759,24.8,81,0,0,0,0,0,0
542,L47721,L,297.4,309.4,1296,52.3,96,0,0,0,0,0,0
587,L47766,L,297.6,309.6,1501,49.8,222,1,0,0,0,1,0
604,L47783,L,297.9,309.8,1336,71.6,31,1,0,0,1,0,0
609,L47788,L,298.0,309.9,1403,47.7,43,0,0,0,0,0,0
645,H30058,H,297.7,309.4,1608,30.2,135,0,0,0,0,0,0
653,L47832,L,297.7,309.2,1391,44.5,159,0,0,0,0,0,0
670,H30083,H,297.5,308.9,1471,37.7,197,0,0,0,0,0,0
672,L47851,L,297.5,308.9,1554,34.8,204,0,0,0,0,0,0
704,H30117,H,297.7,308.9,1479,40.9,87,0,0,0,0,0,0
730,L47909,L,297.3,308.6,1586,37.7,155,0,0,0,0,0,0
741,M15600,M,296.9,308.4,1450,46.9,186,0,0,0,0,0,0
746,L47925,L,296.7,308,1451,50.7,197,0,0,0,0,0,0
747,L47926,L,296.8,308.1,1289,62.0,199,1,0,0,0,1,0
770,L47949,L,296.9,308,1343,44.5,15,0,0,0,0,0,0
777,L47956,L,296.7,307.8,1468,39.2,35,0,0,0,0,0,0
791,L47970,L,296.8,307.9,1420,45.4,70,0,0,0,0,0,0
841,L48020,L,296.6,307.5,1582,37.9,197,0,0,0,0,0,0
842,L48021,L,296.6,307.5,1439,45.5,199,0,0,0,0,0,0
848,L48027,L,296.4,307.4,2833,5.6,213,1,0,0,1,0,0
849,L48028,L,296.3,307.4,1465,47.1,215,0,0,0,0,0,0
853,M15712,M,296.3,307.3,1368,49.5,10,0,0,0,0,0,0
881,M15740,M,295.8,306.3,1235,76.2,89,1,0,0,1,0,0
904,L48083,L,295.7,306.2,2270,14.6,149,1,0,0,1,0,0
910,L48089,L,295.5,306,1456,39.2,167,0,0,0,0,0,0
927,L48106,L,295.6,306.1,1372,55.6,215,1,0,0,0,1,0
940,L48119,L,295.5,306.1,1488,40.7,31,0,0,0,0,0,0
955,H30368,H,295.6,306.2,1414,42.5,69,0,0,0,0,0,0
960,L48139,L,295.8,306.5,1505,35.2,86,0,0,0,0,0,0
973,L48152,L,295.8,306.6,1644,35.2,115,0,0,0,0,0,0
982,L48161,L,296.2,306.8,1655,31.1,136,0,0,0,0,0,0
984,L48163,L,296.2,306.9,1526,34.9,140,0,0,0,0,0,0
988,M15847,M,296.3,307.1,1534,33.8,151,0,0,0,0,0,0
1017,M15876,M,296.3,307.2,1319,68.3,24,1,0,0,1,0,0
1018,L48197,L,296.3,307.2,1637,31.6,27,0,0,0,0,0,0
1023,L48202,L,296.2,307.2,1515,36.5,38,0,0,0,0,0,0
1065,M15924,M,296.8,307.9,1409,44.3,145,0,0,0,0,0,0
1074,L48253,L,297.0,307.8,1414,47.5,168,0,0,0,0,0,0
1086,L48265,L,297.0,307.8,1385,56.4,202,1,0,0,0,1,0
1088,H30501,H,296.9,307.8,1549,35.8,206,1,1,0,0,0,0
1096,L48275,L,296.9,307.5,2721,9.3,18,1,0,0,1,0,0
1112,H30525,H,296.5,307.4,1432,49.2,64,0,0,0,0,0,0
1124,H30537,H,296.6,307.7,1386,62.3,100,1,0,0,1,0,0
1125,M15984,M,296.7,307.8,1258,69.0,105,1,0,0,1,0,0
1134,M15993,M,296.8,307.9,1418,47.9,127,0,0,0,0,0,0
1143,L48322,L,296.9,307.9,1423,43.9,149,0,0,0,0,0,0
1145,L48324,L,297.0,307.9,1296,69.1,153,1,0,0,1,0,0
1153,L48332,L,297.1,307.9,1507,38.3,170,0,0,0,0,0,0
1158,L48337,L,297.0,307.8,1583,37.2,189,0,0,0,0,0,0
1162,L48341,L,297.0,307.8,1316,61.2,200,1,0,0,0,1,0
1163,L48342,L,296.9,307.8,1400,57.1,202,1,0,0,0,1,0
1166,L48345,L,297.1,308.1,1487,34.6,208,0,0,0,0,0,0
1168,L48347,L,297.0,308.1,1362,52.5,213,1,0,0,0,1,0
1171,M16030,M,297.1,308.1,1823,24.3,219,0,0,0,0,0,0
1173,L48352,L,297.1,308.1,1446,36.6,227,0,0,0,0,0,0
1180,L48359,L,297.3,308.4,1441,43.4,14,0,0,0,0,0,0
1194,L48373,L,297.1,308.2,1347,50.8,49,0,0,0,0,0,0
1197,M16056,M,297.0,307.9,1493,34.7,57,0,0,0,0,0,0
1203,M16062,M,297.0,308.1,1355,51.4,76,0,0,0,0,0,0
1222,M16081,M,297.0,308.3,1399,46.4,132,0,0,0,0,0,1
1227,L48406,L,297.1,308.4,1488,42.5,146,0,0,0,0,0,0
1234,M16093,M,297.2,308.5,1364,55.6,163,0,0,0,0,0,0
1266,L48445,L,297.9,309.4,1558,35.7,39,0,0,0,0,0,0
1269,L48448,L,298.0,309.5,1496,45.8,46,0,0,0,0,0,0
1285,L48464,L,298.4,309.5,2153,15.3,98,1,0,0,1,0,0
1325,M16184,M,298.8,310.1,1243,74.5,194,1,0,0,1,1,0
1326,H30739,H,298.8,310.1,1567,36.8,197,0,0,0,0,0,0
1327,L48506,L,298.9,310.2,1411,46.5,202,0,0,0,0,0,0
1335,L48514,L,299.0,310.4,1365,49.1,226,1,0,0,0,1,0
1336,L48515,L,299.0,310.4,1371,53.8,228,1,0,0,0,1,0
1345,L48524,L,298.5,310.1,1809,28.9,20,0,0,0,0,0,0
1350,L48529,L,298.7,310.2,1402,45.9,30,0,0,0,0,0,0
1381,L48560,L,298.7,310.1,1786,27.7,114,0,0,0,0,0,0
1392,L48571,L,298.9,310.2,2737,8.8,142,1,0,0,1,0,0
1420,L48599,L,298.7,309.8,1354,53.3,212,1,0,0,0,1,0
1429,L48608,L,298.8,309.9,1568,33.7,13,0,0,0,0,0,0
1438,H30851,H,298.8,309.9,1439,45.2,40,1,0,0,0,0,0
1444,L48623,L,298.9,310.1,1602,38.2,58,0,0,0,0,0,0
1465,L48644,L,298.8,310,1412,46.3,107,0,0,0,0,0,0
1493,M16352,M,298.0,308.7,1479,58.5,176,1,0,0,1,0,0
1497,L48676,L,298.0,308.7,1268,69.4,189,1,0,0,1,1,0
1510,L48689,L,298.0,308.5,1429,37.7,220,1,1,0,0,0,0
1533,M16392,M,298.1,308.9,1417,39.2,65,0,0,0,0,0,0
1556,L48735,L,298.4,308.6,1491,42.0,120,0,0,0,0,0,0
1563,L48742,L,298.2,308.3,2216,16.8,139,0,0,0,0,0,0
1572,L48751,L,298.3,308.4,1528,37.3,160,0,0,0,0,0,0
1574,L48753,L,298.2,308.2,1466,42.4,164,0,0,0,0,0,0
1579,L48758,L,298.3,308.4,1593,37.0,174,0,0,0,0,0,0
1584,L48763,L,298.2,308.4,1310,61.0,189,1,0,0,0,1,0
1590,M16449,M,298.1,308.3,1453,41.5,204,0,0,0,0,0,0
1596,L48775,L,298.0,308.2,1365,52.9,218,1,0,0,0,1,0
1630,M16489,M,297.9,307.9,1336,54.4,82,0,0,0,0,0,0
1634,L48813,L,297.9,307.9,1476,45.2,91,0,0,0,0,0,0
1650,H31063,H,298.0,307.9,1482,37.8,132,0,0,0,0,0,0
1658,M16517,M,298.1,308,1374,48.8,156,0,0,0,0,0,0
1683,H31096,H,297.9,307.4,1604,36.1,225,1,1,0,0,0,0
1685,L48864,L,297.8,307.3,1438,44.5,3,0,0,0,0,0,0
1701,M16560,M,298.0,307.6,1844,23.8,44,0,0,0,0,0,0
1721,L48900,L,298.2,307.7,1459,44.5,89,0,0,0,0,0,0
1726,M16585,M,298.3,307.8,1392,50.4,101,0,0,0,0,0,0
1731,M16590,M,298.3,307.8,1330,55.4,114,0,0,0,0,0,0
1744,M16603,M,298.5,308,1713,25.8,154,0,0,0,0,0,0
1764,L48943,L,298.2,307.6,1511,31.0,209,1,1,0,0,0,0
1785,L48964,L,298.3,308,2886,3.8,57,1,0,0,1,0,0
1790,L48969,L,298.2,307.9,1313,67.3,67,1,0,0,1,0,0
1793,M16652,M,298.1,307.7,1445,48.0,73,0,0,0,0,0,0
1796,M16655,M,298.1,307.7,1498,38.3,81,0,0,0,0,0,0
1803,H31216,H,298.1,307.6,1496,44.1,104,0,0,0,0,0,0
1809,L48988,L,298.1,307.7,2567,12.8,125,1,0,0,1,0,0
1822,L49001,L,298.1,307.6,1354,43.3,155,0,0,0,0,0,0
1827,H31240,H,297.8,307.3,1516,40.1,166,0,0,0,0,0,0
1834,L49013,L,297.8,307.3,1327,61.0,186,1,0,0,0,1,0
1842,L49021,L,297.7,307.2,1668,37.8,5,0,0,0,0,0,0
